AREFNO,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped Location,Ped Movement,Mode of Travel
1190155209,REDBRIDGE,14,543649,186237,1,3 PEDESTRIAN,1 MALE,16-24,23,1,3 SLIGHT,01 CROSSING ROAD ON PED XING,1 FROM DRIVERS N/SIDE,1 PEDESTRIAN
1190155210,TOWER HAMLETS,5,537356,183448,1,3 PEDESTRIAN,1 MALE,16-24,24,1,1 FATAL,05 CROSSING ROAD (NOT ON XING),1 FROM DRIVERS N/SIDE,1 PEDESTRIAN
1190155216,ISLINGTON,3,532724,185103,1,3 PEDESTRIAN,1 MALE,25-59,38,1,3 SLIGHT,05 CROSSING ROAD (NOT ON XING),3 FROM DRIVERS O/SIDE,1 PEDESTRIAN
1190155217,REDBRIDGE,14,543616,186274,1,3 PEDESTRIAN,1 MALE,25-59,37,1,2 SERIOUS,01 CROSSING ROAD ON PED XING,9 UNKNOWN OR OTHER,1 PEDESTRIAN
1190155220,KENSINGTON & CHELSEA,12,527068,179060,1,1 DRIVER/RIDER,1 MALE,25-59,29,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,5 TAXI
1190155221,TOWER HAMLETS,5,538407,180538,1,3 PEDESTRIAN,1 MALE,16-24,22,1,2 SERIOUS,10 UNKNOWN OR OTHER,9 UNKNOWN OR OTHER,1 PEDESTRIAN
1190155225,EALING,27,512750,180199,1,1 DRIVER/RIDER,1 MALE,25-59,30,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155226,EALING,27,511549,182802,1,3 PEDESTRIAN,1 MALE,25-59,47,1,3 SLIGHT,09 IN ROAD - NOT CROSSING,9 UNKNOWN OR OTHER,1 PEDESTRIAN
1190155232,CROYDON,20,531510,167115,1,1 DRIVER/RIDER,1 MALE,25-59,26,1,2 SERIOUS,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,5 TAXI
1190155234,NEWHAM,17,542152,185130,1,1 DRIVER/RIDER,1 MALE,25-59,35,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155242,HOUNSLOW,25,515593,177263,1,1 DRIVER/RIDER,1 MALE,25-59,29,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155254,HARINGEY,31,534122,189977,1,1 DRIVER/RIDER,1 MALE,16-24,19,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155255,SOUTHWARK,8,531638,180380,1,3 PEDESTRIAN,1 MALE,25-59,27,1,3 SLIGHT,01 CROSSING ROAD ON PED XING,3 FROM DRIVERS O/SIDE,1 PEDESTRIAN
1190155256,WANDSWORTH,10,528616,177428,1,1 DRIVER/RIDER,1 MALE,60+,63,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155257,HILLINGDON,26,505349,183202,1,1 DRIVER/RIDER,2 FEMALE,25-59,25,3,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155257,HILLINGDON,26,505349,183202,2,2 PASSENGER,2 FEMALE,25-59,26,3,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155257,HILLINGDON,26,505349,183202,3,2 PASSENGER,2 FEMALE,16-24,17,3,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155263,LEWISHAM,7,538972,171167,1,1 DRIVER/RIDER,1 MALE,16-24,20,1,2 SERIOUS,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155276,BRENT,28,519377,184736,1,1 DRIVER/RIDER,1 MALE,60+,65,1,2 SERIOUS,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155282,TOWER HAMLETS,5,537560,182299,1,1 DRIVER/RIDER,1 MALE,0-15,12,1,2 SERIOUS,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155284,TOWER HAMLETS,5,534595,181757,1,1 DRIVER/RIDER,1 MALE,25-59,47,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155294,KENSINGTON & CHELSEA,12,526033,177533,1,2 PASSENGER,2 FEMALE,25-59,36,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155297,WANDSWORTH,10,523656,175151,1,3 PEDESTRIAN,1 MALE,25-59,33,1,3 SLIGHT,06 ON FOOTPATH - VERGE,9 UNKNOWN OR OTHER,1 PEDESTRIAN
1190155298,BARKING & DAGENHAM,16,547724,187222,1,1 DRIVER/RIDER,1 MALE,25-59,35,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155301,CROYDON,20,531513,160055,1,1 DRIVER/RIDER,1 MALE,25-59,42,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155302,TOWER HAMLETS,5,538343,180659,1,2 PASSENGER,2 FEMALE,25-59,45,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,6 BUS OR COACH
1190155303,TOWER HAMLETS,5,535945,182215,1,1 DRIVER/RIDER,2 FEMALE,25-59,49,3,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155303,TOWER HAMLETS,5,535945,182215,2,2 PASSENGER,2 FEMALE,U,,3,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155303,TOWER HAMLETS,5,535945,182215,3,2 PASSENGER,1 MALE,U,,3,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155305,TOWER HAMLETS,5,533854,182488,1,1 DRIVER/RIDER,1 MALE,25-59,32,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155306,WALTHAM FOREST,13,536731,187414,1,1 DRIVER/RIDER,1 MALE,25-59,44,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155310,HAMMERSMITH & FULHAM,11,521954,178846,1,1 DRIVER/RIDER,1 MALE,16-24,17,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155312,ENFIELD,32,535643,199838,1,1 DRIVER/RIDER,2 FEMALE,25-59,49,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155315,WANDSWORTH,10,525844,173963,1,1 DRIVER/RIDER,1 MALE,25-59,33,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155321,TOWER HAMLETS,5,534956,182937,1,1 DRIVER/RIDER,2 FEMALE,25-59,38,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155325,LEWISHAM,7,538912,175173,1,1 DRIVER/RIDER,1 MALE,25-59,44,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155325,LEWISHAM,7,538912,175173,2,2 PASSENGER,2 FEMALE,25-59,46,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155334,HOUNSLOW,25,512229,176100,1,3 PEDESTRIAN,2 FEMALE,16-24,21,1,3 SLIGHT,01 CROSSING ROAD ON PED XING,3 FROM DRIVERS O/SIDE,1 PEDESTRIAN
1190155341,NEWHAM,17,542813,185954,1,1 DRIVER/RIDER,1 MALE,25-59,42,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155351,BROMLEY,19,538877,165180,1,1 DRIVER/RIDER,1 MALE,25-59,37,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,5 TAXI
1190155354,LAMBETH,9,530436,177849,1,1 DRIVER/RIDER,2 FEMALE,25-59,25,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155363,NEWHAM,17,540090,184870,1,1 DRIVER/RIDER,1 MALE,25-59,40,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155369,KENSINGTON & CHELSEA,12,525956,179068,1,1 DRIVER/RIDER,1 MALE,16-24,23,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155371,BEXLEY,18,546074,175929,1,2 PASSENGER,1 MALE,0-15,3,4,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,6 BUS OR COACH
1190155371,BEXLEY,18,546074,175929,2,2 PASSENGER,1 MALE,60+,79,4,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,6 BUS OR COACH
1190155371,BEXLEY,18,546074,175929,3,2 PASSENGER,2 FEMALE,60+,78,4,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,6 BUS OR COACH
1190155371,BEXLEY,18,546074,175929,4,2 PASSENGER,2 FEMALE,60+,67,4,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,6 BUS OR COACH
1190155376,BEXLEY,18,547548,177673,1,1 DRIVER/RIDER,1 MALE,16-24,16,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155389,BARKING & DAGENHAM,16,547688,183579,1,1 DRIVER/RIDER,1 MALE,25-59,50,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155389,BARKING & DAGENHAM,16,547688,183579,2,2 PASSENGER,1 MALE,16-24,21,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155400,HARROW,29,517742,191177,1,1 DRIVER/RIDER,1 MALE,25-59,25,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155402,WANDSWORTH,10,527649,176054,1,1 DRIVER/RIDER,1 MALE,25-59,30,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155409,CROYDON,20,533443,161885,1,1 DRIVER/RIDER,1 MALE,60+,60,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155409,CROYDON,20,533443,161885,2,1 DRIVER/RIDER,1 MALE,25-59,41,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,9 PRIVATE HIRE
1190155414,WESTMINSTER,1,527376,181377,1,1 DRIVER/RIDER,1 MALE,25-59,41,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155425,HACKNEY,4,533271,186512,1,2 PASSENGER,1 MALE,16-24,21,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155434,HOUNSLOW,25,518999,177961,1,1 DRIVER/RIDER,1 MALE,25-59,31,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155434,HOUNSLOW,25,518999,177961,2,2 PASSENGER,2 FEMALE,25-59,26,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155436,ENFIELD,32,534941,193964,1,3 PEDESTRIAN,1 MALE,25-59,25,2,3 SLIGHT,04 CROSSING ROAD WITHIN 50M XING,3 FROM DRIVERS O/SIDE,1 PEDESTRIAN
1190155436,ENFIELD,32,534941,193964,2,3 PEDESTRIAN,1 MALE,0-15,2,2,3 SLIGHT,04 CROSSING ROAD WITHIN 50M XING,3 FROM DRIVERS O/SIDE,1 PEDESTRIAN
1190155440,GREENWICH,6,546419,178545,1,1 DRIVER/RIDER,1 MALE,25-59,44,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155441,HACKNEY,4,533179,187486,1,3 PEDESTRIAN,1 MALE,0-15,11,1,3 SLIGHT,05 CROSSING ROAD (NOT ON XING),3 FROM DRIVERS O/SIDE,1 PEDESTRIAN
1190155442,BARNET,30,522554,189815,1,1 DRIVER/RIDER,1 MALE,16-24,18,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155446,WANDSWORTH,10,526874,171103,1,1 DRIVER/RIDER,1 MALE,25-59,27,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,6 BUS OR COACH
1190155449,WANDSWORTH,10,527371,171342,1,1 DRIVER/RIDER,1 MALE,25-59,47,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155451,HOUNSLOW,25,516113,177438,1,3 PEDESTRIAN,2 FEMALE,25-59,29,1,3 SLIGHT,01 CROSSING ROAD ON PED XING,1 FROM DRIVERS N/SIDE,1 PEDESTRIAN
1190155452,BRENT,28,521446,185682,1,3 PEDESTRIAN,1 MALE,25-59,52,1,2 SERIOUS,05 CROSSING ROAD (NOT ON XING),1 FROM DRIVERS N/SIDE,1 PEDESTRIAN
1190155453,BROMLEY,19,535531,170079,1,3 PEDESTRIAN,2 FEMALE,25-59,37,2,3 SLIGHT,05 CROSSING ROAD (NOT ON XING),9 UNKNOWN OR OTHER,1 PEDESTRIAN
1190155453,BROMLEY,19,535531,170079,2,3 PEDESTRIAN,1 MALE,0-15,9,2,3 SLIGHT,05 CROSSING ROAD (NOT ON XING),9 UNKNOWN OR OTHER,1 PEDESTRIAN
1190155454,CAMDEN,2,530455,182926,1,1 DRIVER/RIDER,1 MALE,25-59,49,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155454,CAMDEN,2,530455,182926,2,1 DRIVER/RIDER,1 MALE,25-59,57,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155455,LAMBETH,9,532175,174655,1,1 DRIVER/RIDER,1 MALE,25-59,42,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155456,HAMMERSMITH & FULHAM,11,522666,178746,1,3 PEDESTRIAN,1 MALE,25-59,46,1,3 SLIGHT,01 CROSSING ROAD ON PED XING,3 FROM DRIVERS O/SIDE,1 PEDESTRIAN
1190155464,HAMMERSMITH & FULHAM,11,525168,177238,1,1 DRIVER/RIDER,2 FEMALE,25-59,32,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155465,EALING,27,512463,179043,1,3 PEDESTRIAN,1 MALE,16-24,17,1,3 SLIGHT,05 CROSSING ROAD (NOT ON XING),9 UNKNOWN OR OTHER,1 PEDESTRIAN
1190155466,EALING,27,516821,180473,1,1 DRIVER/RIDER,1 MALE,25-59,30,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155469,NEWHAM,17,538940,184869,1,3 PEDESTRIAN,2 FEMALE,25-59,53,1,2 SERIOUS,06 ON FOOTPATH - VERGE,9 UNKNOWN OR OTHER,1 PEDESTRIAN
1190155472,KINGSTON-UPON-THAMES,23,518163,169466,1,1 DRIVER/RIDER,1 MALE,60+,70,1,2 SERIOUS,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155473,BRENT,28,518992,185404,1,3 PEDESTRIAN,1 MALE,0-15,14,1,2 SERIOUS,05 CROSSING ROAD (NOT ON XING),1 FROM DRIVERS N/SIDE,1 PEDESTRIAN
1190155480,WANDSWORTH,10,527281,177109,1,1 DRIVER/RIDER,1 MALE,25-59,27,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155482,HOUNSLOW,25,510943,173926,1,1 DRIVER/RIDER,1 MALE,25-59,42,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155484,HARROW,29,512982,187611,1,1 DRIVER/RIDER,2 FEMALE,25-59,45,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155487,TOWER HAMLETS,5,536925,181069,1,1 DRIVER/RIDER,2 FEMALE,25-59,27,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155489,CROYDON,20,531122,165301,1,1 DRIVER/RIDER,2 FEMALE,25-59,42,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155505,TOWER HAMLETS,5,533826,181319,1,1 DRIVER/RIDER,2 FEMALE,16-24,24,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155506,EALING,27,520659,181459,1,3 PEDESTRIAN,2 FEMALE,25-59,48,1,3 SLIGHT,04 CROSSING ROAD WITHIN 50M XING,2 FROM DRIVERS N/SIDE MSK,1 PEDESTRIAN
1190155509,ISLINGTON,3,529272,186853,1,1 DRIVER/RIDER,1 MALE,16-24,18,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155519,BARKING & DAGENHAM,16,547804,185808,1,1 DRIVER/RIDER,1 MALE,25-59,33,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155525,CROYDON,20,531396,167514,1,1 DRIVER/RIDER,1 MALE,16-24,18,2,3 SLIGHT,'-2 NOT APPLICABLE,1 FROM DRIVERS N/SIDE,3 POWERED 2 WHEELER
1190155525,CROYDON,20,531396,167514,2,3 PEDESTRIAN,2 FEMALE,25-59,29,2,3 SLIGHT,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN
1190155533,WANDSWORTH,10,527544,171376,1,3 PEDESTRIAN,2 FEMALE,25-59,49,1,3 SLIGHT,06 ON FOOTPATH - VERGE,9 UNKNOWN OR OTHER,1 PEDESTRIAN
1190155540,HOUNSLOW,25,511528,176378,1,1 DRIVER/RIDER,1 MALE,25-59,59,1,2 SERIOUS,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155552,RICHMOND-UPON-THAMES,24,521787,175470,1,1 DRIVER/RIDER,1 MALE,25-59,32,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155567,WESTMINSTER,1,529979,180310,1,1 DRIVER/RIDER,2 FEMALE,25-59,34,1,2 SERIOUS,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155576,KENSINGTON & CHELSEA,12,527895,179556,1,3 PEDESTRIAN,1 MALE,25-59,27,1,3 SLIGHT,09 IN ROAD - NOT CROSSING,5 IN RD NOT CROSSING,1 PEDESTRIAN
1190155582,NEWHAM,17,542333,183969,1,2 PASSENGER,2 FEMALE,25-59,28,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155586,KENSINGTON & CHELSEA,12,526477,178924,1,2 PASSENGER,1 MALE,0-15,6,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155586,KENSINGTON & CHELSEA,12,526477,178924,2,1 DRIVER/RIDER,1 MALE,25-59,53,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,5 TAXI
1190155601,WESTMINSTER,1,527414,182102,1,1 DRIVER/RIDER,1 MALE,25-59,25,2,2 SERIOUS,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155601,WESTMINSTER,1,527414,182102,2,1 DRIVER/RIDER,1 MALE,60+,62,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155602,BEXLEY,18,548322,172820,1,1 DRIVER/RIDER,1 MALE,16-24,18,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155611,SOUTHWARK,8,534240,176740,1,2 PASSENGER,2 FEMALE,U,,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155611,SOUTHWARK,8,534240,176740,2,2 PASSENGER,2 FEMALE,U,,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155613,LEWISHAM,7,537138,177689,1,1 DRIVER/RIDER,1 MALE,0-15,13,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155618,HAVERING,15,556208,185042,1,2 PASSENGER,2 FEMALE,0-15,12,6,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155618,HAVERING,15,556208,185042,2,2 PASSENGER,2 FEMALE,16-24,18,6,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155618,HAVERING,15,556208,185042,3,1 DRIVER/RIDER,2 FEMALE,25-59,42,6,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155618,HAVERING,15,556208,185042,4,2 PASSENGER,2 FEMALE,0-15,10,6,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155618,HAVERING,15,556208,185042,5,2 PASSENGER,2 FEMALE,0-15,11,6,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155618,HAVERING,15,556208,185042,6,2 PASSENGER,2 FEMALE,0-15,11,6,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155619,BARKING & DAGENHAM,16,548792,187465,1,1 DRIVER/RIDER,1 MALE,60+,71,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155622,MERTON,22,524959,169822,1,1 DRIVER/RIDER,1 MALE,25-59,38,1,2 SERIOUS,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155627,EALING,27,520571,179155,1,1 DRIVER/RIDER,1 MALE,25-59,25,1,2 SERIOUS,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155631,BROMLEY,19,534040,170498,1,1 DRIVER/RIDER,1 MALE,25-59,41,1,2 SERIOUS,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155632,KINGSTON-UPON-THAMES,23,521578,170594,1,1 DRIVER/RIDER,1 MALE,25-59,33,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155634,WESTMINSTER,1,527616,181879,1,1 DRIVER/RIDER,1 MALE,25-59,26,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,3 POWERED 2 WHEELER
1190155639,REDBRIDGE,14,544619,186279,1,1 DRIVER/RIDER,2 FEMALE,16-24,24,4,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155639,REDBRIDGE,14,544619,186279,2,2 PASSENGER,2 FEMALE,16-24,22,4,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155639,REDBRIDGE,14,544619,186279,3,1 DRIVER/RIDER,1 MALE,16-24,19,4,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
